Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
11/17/2025,AXSM,AXSM,S,EDGX,9
11/18/2025,AXSM,AXSM,S,BATS,15
11/18/2025,AXSM,AXSM,S,C2,20
11/18/2025,AXSM,AXSM,S,CBOE,127
11/18/2025,AXSM,AXSM,S,EDGX,26
11/19/2025,AXSM,AXSM,S,BATS,15
11/19/2025,AXSM,AXSM,S,C2,16
11/19/2025,AXSM,AXSM,S,CBOE,94
11/19/2025,AXSM,AXSM,S,EDGX,54
11/20/2025,AXSM,AXSM,S,BATS,13
11/20/2025,AXSM,AXSM,S,C2,4
11/20/2025,AXSM,AXSM,S,CBOE,16
11/20/2025,AXSM,AXSM,S,EDGX,16
11/21/2025,AXSM,AXSM,S,BATS,20
11/21/2025,AXSM,AXSM,S,C2,41
11/21/2025,AXSM,AXSM,S,CBOE,223
11/21/2025,AXSM,AXSM,S,EDGX,15
11/24/2025,AXSM,AXSM,S,BATS,15
11/24/2025,AXSM,AXSM,S,C2,3
11/24/2025,AXSM,AXSM,S,CBOE,23
11/24/2025,AXSM,AXSM,S,EDGX,80
11/25/2025,AXSM,AXSM,S,BATS,19
11/25/2025,AXSM,AXSM,S,C2,5
11/25/2025,AXSM,AXSM,S,CBOE,10
11/26/2025,AXSM,AXSM,S,BATS,1
11/26/2025,AXSM,AXSM,S,C2,3
11/26/2025,AXSM,AXSM,S,CBOE,3
11/26/2025,AXSM,AXSM,S,EDGX,3
11/28/2025,AXSM,AXSM,S,BATS,1
11/28/2025,AXSM,AXSM,S,CBOE,59
11/28/2025,AXSM,AXSM,S,EDGX,54
12/1/2025,AXSM,AXSM,S,BATS,11
12/1/2025,AXSM,AXSM,S,CBOE,105
12/1/2025,AXSM,AXSM,S,EDGX,3
12/2/2025,AXSM,AXSM,S,BATS,6
12/2/2025,AXSM,AXSM,S,C2,1
12/2/2025,AXSM,AXSM,S,CBOE,28
12/2/2025,AXSM,AXSM,S,EDGX,33
12/3/2025,AXSM,AXSM,S,BATS,39
12/3/2025,AXSM,AXSM,S,C2,6
12/3/2025,AXSM,AXSM,S,CBOE,56
12/3/2025,AXSM,AXSM,S,EDGX,4
12/4/2025,AXSM,AXSM,S,BATS,24
12/4/2025,AXSM,AXSM,S,CBOE,8
12/4/2025,AXSM,AXSM,S,EDGX,4
12/5/2025,AXSM,AXSM,S,BATS,11
12/5/2025,AXSM,AXSM,S,CBOE,10
12/5/2025,AXSM,AXSM,S,EDGX,7
12/8/2025,AXSM,AXSM,S,BATS,2
12/8/2025,AXSM,AXSM,S,C2,3
12/8/2025,AXSM,AXSM,S,CBOE,6
12/8/2025,AXSM,AXSM,S,EDGX,11
12/9/2025,AXSM,AXSM,S,BATS,25
12/9/2025,AXSM,AXSM,S,C2,2
12/9/2025,AXSM,AXSM,S,CBOE,2
12/9/2025,AXSM,AXSM,S,EDGX,2
12/10/2025,AXSM,AXSM,S,CBOE,6
12/10/2025,AXSM,AXSM,S,EDGX,1
12/11/2025,AXSM,AXSM,S,BATS,2
12/11/2025,AXSM,AXSM,S,C2,7
12/11/2025,AXSM,AXSM,S,CBOE,2
12/11/2025,AXSM,AXSM,S,EDGX,2
12/12/2025,AXSM,AXSM,S,BATS,10
